Report Type,Audiences | Summary,,,,,,,,
Date Range,"Jul 11, 2023 - Sep 30, 2023",,,,,,,,
,,,,,,,,,
Campaign,Audiences,Completed Impressions,CPM,Cost,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Behavior | In-Market | Any Car,7095,$30.00,$212.85,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Behavior | In-Market | Home Improvement,15850,$30.00,$475.50,,,,This month / All time,Completed Impressions - column chart & Devices - column chart
Fort Sill FCU | Branding Video | Q3 2023,Behavior | In-Market | Luxury Vehicles,6807,$30.00,$204.21,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Behavior | In-Market | SUVs,1865,$30.00,$55.95,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Behavior | In-Market | Sedan,4781,$30.00,$143.43,,,month:,Completed Impressions,Just Impressions - just # (for the month)
Fort Sill FCU | Branding Video | Q3 2023,Behavior | In-Market | Trucks,588,$30.00,$17.64,,,,Audiences,Total Completed Impressions / Audience - Column chart
Fort Sill FCU | Branding Video | Q3 2023,Demographics | Career | C-Level Execs - Large Company (1000+),1067,$30.00,$32.01,,,,Platform/Devices,Platform / Completed Impressions - Pie Chart
Fort Sill FCU | Branding Video | Q3 2023,Demographics | Career | Entrepreneurs / Start-Ups / SMB Owners,710,$30.00,$21.30,,,,Location,City / Reach - table
Fort Sill FCU | Branding Video | Q3 2023,Demographics | Career | Hospitality,1019,$30.00,$30.57,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Demographics | Career | Managers,5480,$30.00,$164.40,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Demographics | Career | Restaurant Workers or Owners,7149,$30.00,$214.47,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Demographics | Career | Self-Employed,148,$30.00,$4.44,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Demographics | Career | Small Business Decision Makers,8434,$30.00,$253.02,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Demographics | Career | Teachers,861,$30.00,$25.83,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Demographics | Career | Upper Management,1456,$30.00,$43.68,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Demographics | Career | Young Professionals,942,$30.00,$28.26,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Demographics | Education | College Grad,2230,$30.00,$66.90,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Demographics | Education | Continuing Education,5041,$30.00,$151.23,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Demographics | Education | Currently In College,6753,$30.00,$202.59,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Demographics | Education | Some College Education,4930,$30.00,$147.90,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Demographics | Financial | $100k+,3899,$30.00,$116.97,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Demographics | Financial | $150k+,818,$30.00,$24.54,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Demographics | Financial | $50k+,2580,$30.00,$77.40,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Demographics | Financial | $75k+,1580,$30.00,$47.40,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Demographics | Financial | Credit Card Users,1684,$30.00,$50.52,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Demographics | Milestones | Millennials,8443,$30.00,$253.29,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Demographics | Milestones | New Parents,3506,$30.00,$105.18,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Demographics | Milestones | Parents With Grade Schoolers,1710,$30.00,$51.30,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Demographics | Milestones | Parents With Kids 0-12,3977,$30.00,$119.31,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Demographics | Milestones | Parents With Pre-Schoolers,3750,$30.00,$112.50,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Demographics | Milestones | Parents With Teens,323,$30.00,$9.69,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Demographics | Milestones | Parents With Teens; College Interest,478,$30.00,$14.34,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Demographics | Milestones | Parents With Tweens,1687,$30.00,$50.61,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Interest | Lifestyle | Car Enthusiasts,13589,$30.00,$407.67,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Interest | Travel | Adventure Seekers,73,$30.00,$2.19,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Interest | Travel | Business Travelers,6562,$30.00,$196.86,,,,,
Fort Sill FCU | Branding Video | Q3 2023,"Interest | Travel | Campers, RVs ",9987,$30.00,$299.61,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Interest | Travel | Family Travel,7852,$30.00,$235.56,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Interest | Travel | Frequent Flyers,876,$30.00,$26.28,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Interest | Travel | Frequent Travelers,11338,$30.00,$340.14,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Interest | Travel | International Travelers,1959,$30.00,$58.77,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Interest | Travel | Leisure,10504,$30.00,$315.12,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Interest | Travel | Ride Share Users,1229,$30.00,$36.87,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Ownership | Auto | Any Car,15991,$30.00,$479.73,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Ownership | Auto | Mid-size Sedan,6196,$30.00,$185.88,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Ownership | Auto | Motorcycle,11324,$30.00,$339.72,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Ownership | Auto | SUVs,7245,$30.00,$217.35,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Ownership | Auto | Truck Owners,6153,$30.00,$184.59,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Ownership | Home | Home Owners,7484,$30.00,$224.52,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Ownership | Home | Home Renters,7477,$30.00,$224.31,,,,,
Fort Sill FCU | Branding Video | Q3 2023,Other,3,$30.00,$0.09,,,,,
,TOTAL,243483,,"$7,304.49",,,,,